"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Sep 30 03:14:19 GMT 2025","Tue Sep 30 03:14:19 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_refresh_token[core]","Auth refreshes token on expiration/invalidation"
"passed","Tue Sep 30 03:14:18 GMT 2025","Tue Sep 30 03:14:18 GMT 2025","122","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
"skipped","Tue Sep 30 03:14:17 GMT 2025","Tue Sep 30 03:14:17 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_refresh_token[core]","Auth refreshes token on expiration/invalidation"
"passed","Tue Sep 30 03:14:17 GMT 2025","Tue Sep 30 03:14:17 GMT 2025","32","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_decimal[core]",""
"passed","Tue Sep 30 03:14:20 GMT 2025","Tue Sep 30 03:14:20 GMT 2025","100","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_struct[core]",""
"passed","Tue Sep 30 03:14:19 GMT 2025","Tue Sep 30 03:14:19 GMT 2025","5","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_inf[core]",""
"passed","Tue Sep 30 03:14:18 GMT 2025","Tue Sep 30 03:14:19 GMT 2025","1030","tests.integration.dbapi.async.V2","test_timeout","","","","test_query_timeout[core]",""
"passed","Tue Sep 30 03:14:20 GMT 2025","Tue Sep 30 03:14:21 GMT 2025","739","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_multiple_records[core]","Select handles multiple records properly."
"passed","Tue Sep 30 03:14:19 GMT 2025","Tue Sep 30 03:14:19 GMT 2025","4","tests.integration.dbapi.sync.V2","test_errors","","","","test_sql_error[core]","Connection properly reacts to sql execution error."
"passed","Tue Sep 30 03:14:18 GMT 2025","Tue Sep 30 03:14:18 GMT 2025","328","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_multiple_records[core]","Select handles multiple records properly."
"passed","Tue Sep 30 03:14:17 GMT 2025","Tue Sep 30 03:14:17 GMT 2025","29","tests.integration.dbapi.async.V2","test_queries_async","","","","test_set_invalid_parameter[core]",""
"passed","Tue Sep 30 03:14:18 GMT 2025","Tue Sep 30 03:14:18 GMT 2025","32","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
"passed","Tue Sep 30 03:14:17 GMT 2025","Tue Sep 30 03:14:17 GMT 2025","31","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query_with_special_chars[core]","Query parameters are handled properly."
"passed","Tue Sep 30 03:14:20 GMT 2025","Tue Sep 30 03:14:20 GMT 2025","39","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query[core]","Query parameters are handled properly"
"passed","Tue Sep 30 03:14:17 GMT 2025","Tue Sep 30 03:14:17 GMT 2025","76","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query[core]","Query parameters are handled properly."
"passed","Tue Sep 30 03:14:20 GMT 2025","Tue Sep 30 03:14:20 GMT 2025","47","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_select[core]","Select handles all data types properly."
"passed","Tue Sep 30 03:14:20 GMT 2025","Tue Sep 30 03:14:20 GMT 2025","5","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_quoted_bigint[core]",""
"passed","Tue Sep 30 03:14:21 GMT 2025","Tue Sep 30 03:14:22 GMT 2025","1003","tests.integration.dbapi.sync.V2","test_timeout","","","","test_query_timeout[core]",""
"passed","Tue Sep 30 03:14:17 GMT 2025","Tue Sep 30 03:14:17 GMT 2025","34","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan[core]",""
"passed","Tue Sep 30 03:14:17 GMT 2025","Tue Sep 30 03:14:17 GMT 2025","34","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_bigint[core]",""
"passed","Tue Sep 30 03:14:17 GMT 2025","Tue Sep 30 03:14:17 GMT 2025","64","tests.integration.dbapi.async.V2","test_queries_async","","","","test_multi_statement_query[core]","Query parameters are handled properly"
"passed","Tue Sep 30 03:14:19 GMT 2025","Tue Sep 30 03:14:19 GMT 2025","5","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_nan[core]",""
"passed","Tue Sep 30 03:14:17 GMT 2025","Tue Sep 30 03:14:17 GMT 2025","31","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_inf[core]",""
"passed","Tue Sep 30 03:14:20 GMT 2025","Tue Sep 30 03:14:20 GMT 2025","2","tests.integration.dbapi.sync.V2","test_queries","","","","test_set_invalid_parameter[core]",""
"passed","Tue Sep 30 03:14:20 GMT 2025","Tue Sep 30 03:14:20 GMT 2025","38","tests.integration.dbapi.sync.V2","test_queries","","","","test_bytea_roundtrip[core]","Inserted and than selected bytea value doesn't get corrupted."
"passed","Tue Sep 30 03:14:17 GMT 2025","Tue Sep 30 03:14:17 GMT 2025","30","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_geography[core]",""
"skipped","Tue Sep 30 03:14:17 GMT 2025","Tue Sep 30 03:14:17 GMT 2025","1","tests.integration.dbapi.async.V2","test_queries_async","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Tue Sep 30 03:14:17 GMT 2025","Tue Sep 30 03:14:17 GMT 2025","63","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select[core]","Select handles all data types properly."
"passed","Tue Sep 30 03:14:17 GMT 2025","Tue Sep 30 03:14:17 GMT 2025","39","tests.integration.dbapi.async.V2","test_errors_async","","","","test_sql_error[core]","Connection properly reacts to SQL execution error."
"skipped","Tue Sep 30 03:14:17 GMT 2025","Tue Sep 30 03:14:17 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation[core]","Auth raises authentication error on credentials invalidation"
"passed","Tue Sep 30 03:14:21 GMT 2025","Tue Sep 30 03:14:21 GMT 2025","106","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
"passed","Tue Sep 30 03:14:21 GMT 2025","Tue Sep 30 03:14:21 GMT 2025","8","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
