"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 25 03:24:00 GMT 2025","Mon Aug 25 03:24:00 GMT 2025","116","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_struct[core]",""
"passed","Mon Aug 25 03:24:00 GMT 2025","Mon Aug 25 03:24:00 GMT 2025","30","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_inf[core]",""
"passed","Mon Aug 25 03:24:02 GMT 2025","Mon Aug 25 03:24:02 GMT 2025","5","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query_with_special_chars[core]","Query parameters are handled properly."
"passed","Mon Aug 25 03:24:00 GMT 2025","Mon Aug 25 03:24:00 GMT 2025","63","tests.integration.dbapi.async.V2","test_queries_async","","","","test_multi_statement_query[core]","Query parameters are handled properly"
"passed","Mon Aug 25 03:24:02 GMT 2025","Mon Aug 25 03:24:02 GMT 2025","35","tests.integration.dbapi.sync.V2","test_queries","","","","test_bytea_roundtrip[core]","Inserted and than selected bytea value doesn't get corrupted."
"passed","Mon Aug 25 03:24:02 GMT 2025","Mon Aug 25 03:24:02 GMT 2025","5","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_nan[core]",""
"skipped","Mon Aug 25 03:24:00 GMT 2025","Mon Aug 25 03:24:00 GMT 2025","0","tests.integration.dbapi.async.V2","test_queries_async","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"skipped","Mon Aug 25 03:23:59 GMT 2025","Mon Aug 25 03:23:59 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation[core]","Auth raises authentication error on credentials invalidation"
"passed","Mon Aug 25 03:24:00 GMT 2025","Mon Aug 25 03:24:00 GMT 2025","29","tests.integration.dbapi.async.V2","test_queries_async","","","","test_set_invalid_parameter[core]",""
"passed","Mon Aug 25 03:24:03 GMT 2025","Mon Aug 25 03:24:03 GMT 2025","689","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_multiple_records[core]","Select handles multiple records properly."
"passed","Mon Aug 25 03:24:00 GMT 2025","Mon Aug 25 03:24:00 GMT 2025","56","tests.integration.dbapi.async.V2","test_queries_async","","","","test_bytea_roundtrip[core]","Inserted and than selected bytea value doesn't get corrupted."
"skipped","Mon Aug 25 03:24:03 GMT 2025","Mon Aug 25 03:24:03 GMT 2025","0","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_limited_memory[core]",""
"passed","Mon Aug 25 03:24:02 GMT 2025","Mon Aug 25 03:24:02 GMT 2025","3","tests.integration.dbapi.sync.V2","test_queries","","","","test_set_invalid_parameter[core]",""
"passed","Mon Aug 25 03:23:59 GMT 2025","Mon Aug 25 03:24:00 GMT 2025","63","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select[core]","Select handles all data types properly."
"passed","Mon Aug 25 03:24:01 GMT 2025","Mon Aug 25 03:24:01 GMT 2025","31","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
"passed","Mon Aug 25 03:24:02 GMT 2025","Mon Aug 25 03:24:02 GMT 2025","41","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query[core]","Query parameters are handled properly"
"passed","Mon Aug 25 03:24:03 GMT 2025","Mon Aug 25 03:24:03 GMT 2025","40","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_select[core]","Select handles all data types properly."
"passed","Mon Aug 25 03:24:00 GMT 2025","Mon Aug 25 03:24:00 GMT 2025","30","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_decimal[core]",""
"passed","Mon Aug 25 03:24:00 GMT 2025","Mon Aug 25 03:24:00 GMT 2025","32","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan[core]",""
"passed","Mon Aug 25 03:24:00 GMT 2025","Mon Aug 25 03:24:00 GMT 2025","91","tests.integration.dbapi.async.V2","test_queries_async","","","","test_insert[core]","Insert and delete queries are handled properly."
"passed","Mon Aug 25 03:24:03 GMT 2025","Mon Aug 25 03:24:03 GMT 2025","6","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
"passed","Mon Aug 25 03:24:00 GMT 2025","Mon Aug 25 03:24:00 GMT 2025","31","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query_with_special_chars[core]","Query parameters are handled properly."
"skipped","Mon Aug 25 03:23:59 GMT 2025","Mon Aug 25 03:23:59 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_refresh_token[core]","Auth refreshes token on expiration/invalidation"
"passed","Mon Aug 25 03:24:02 GMT 2025","Mon Aug 25 03:24:03 GMT 2025","100","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_struct[core]",""
"passed","Mon Aug 25 03:24:00 GMT 2025","Mon Aug 25 03:24:00 GMT 2025","63","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_select[core]","Select handles all data types properly."
"skipped","Mon Aug 25 03:24:01 GMT 2025","Mon Aug 25 03:24:01 GMT 2025","0","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_limited_memory[core]",""
"passed","Mon Aug 25 03:24:00 GMT 2025","Mon Aug 25 03:24:00 GMT 2025","31","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_bigint[core]",""
"passed","Mon Aug 25 03:24:04 GMT 2025","Mon Aug 25 03:24:04 GMT 2025","80","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
"passed","Mon Aug 25 03:24:03 GMT 2025","Mon Aug 25 03:24:03 GMT 2025","5","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_quoted_decimal[core]",""
"passed","Mon Aug 25 03:24:02 GMT 2025","Mon Aug 25 03:24:02 GMT 2025","44","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert[core]","Insert and delete queries are handled properly."
"skipped","Mon Aug 25 03:24:02 GMT 2025","Mon Aug 25 03:24:02 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_refresh_token[core]","Auth refreshes token on expiration/invalidation"
"passed","Mon Aug 25 03:24:00 GMT 2025","Mon Aug 25 03:24:00 GMT 2025","72","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query[core]","Query parameters are handled properly."
"passed","Mon Aug 25 03:24:04 GMT 2025","Mon Aug 25 03:24:05 GMT 2025","1004","tests.integration.dbapi.sync.V2","test_timeout","","","","test_query_timeout[core]",""
"passed","Mon Aug 25 03:24:01 GMT 2025","Mon Aug 25 03:24:02 GMT 2025","1030","tests.integration.dbapi.async.V2","test_timeout","","","","test_query_timeout[core]",""
"passed","Mon Aug 25 03:24:02 GMT 2025","Mon Aug 25 03:24:02 GMT 2025","56","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query[core]","Query parameters are handled properly."
"passed","Mon Aug 25 03:24:01 GMT 2025","Mon Aug 25 03:24:01 GMT 2025","113","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
"skipped","Mon Aug 25 03:24:02 GMT 2025","Mon Aug 25 03:24:02 GMT 2025","0","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Mon Aug 25 03:24:02 GMT 2025","Mon Aug 25 03:24:02 GMT 2025","5","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_geography[core]",""
"passed","Mon Aug 25 03:24:02 GMT 2025","Mon Aug 25 03:24:02 GMT 2025","38","tests.integration.dbapi.sync.V2","test_queries","","","","test_select[core]","Select handles all data types properly."
"passed","Mon Aug 25 03:23:59 GMT 2025","Mon Aug 25 03:23:59 GMT 2025","39","tests.integration.dbapi.async.V2","test_errors_async","","","","test_sql_error[core]","Connection properly reacts to SQL execution error."
"passed","Mon Aug 25 03:24:02 GMT 2025","Mon Aug 25 03:24:02 GMT 2025","5","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_inf[core]",""
"passed","Mon Aug 25 03:24:02 GMT 2025","Mon Aug 25 03:24:02 GMT 2025","3","tests.integration.dbapi.sync.V2","test_errors","","","","test_sql_error[core]","Connection properly reacts to sql execution error."
"passed","Mon Aug 25 03:24:00 GMT 2025","Mon Aug 25 03:24:00 GMT 2025","29","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_geography[core]",""
"passed","Mon Aug 25 03:24:00 GMT 2025","Mon Aug 25 03:24:01 GMT 2025","324","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_multiple_records[core]","Select handles multiple records properly."
"passed","Mon Aug 25 03:24:03 GMT 2025","Mon Aug 25 03:24:03 GMT 2025","3","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_quoted_bigint[core]",""
