"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 15 03:19:34 GMT 2025","Mon Sep 15 03:19:34 GMT 2025","378","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_multiple_records[core]","Select handles multiple records properly."
"passed","Mon Sep 15 03:19:34 GMT 2025","Mon Sep 15 03:19:34 GMT 2025","31","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_decimal[core]",""
"passed","Mon Sep 15 03:19:34 GMT 2025","Mon Sep 15 03:19:34 GMT 2025","29","tests.integration.dbapi.async.V2","test_queries_async","","","","test_set_invalid_parameter[core]",""
"passed","Mon Sep 15 03:19:34 GMT 2025","Mon Sep 15 03:19:35 GMT 2025","175","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
"passed","Mon Sep 15 03:19:34 GMT 2025","Mon Sep 15 03:19:34 GMT 2025","63","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_select[core]","Select handles all data types properly."
"skipped","Mon Sep 15 03:19:33 GMT 2025","Mon Sep 15 03:19:33 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation[core]","Auth raises authentication error on credentials invalidation"
"passed","Mon Sep 15 03:19:36 GMT 2025","Mon Sep 15 03:19:36 GMT 2025","46","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query[core]","Query parameters are handled properly."
"passed","Mon Sep 15 03:19:36 GMT 2025","Mon Sep 15 03:19:36 GMT 2025","90","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_struct[core]",""
"passed","Mon Sep 15 03:19:34 GMT 2025","Mon Sep 15 03:19:34 GMT 2025","30","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_geography[core]",""
"passed","Mon Sep 15 03:19:33 GMT 2025","Mon Sep 15 03:19:33 GMT 2025","70","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query[core]","Query parameters are handled properly."
"passed","Mon Sep 15 03:19:36 GMT 2025","Mon Sep 15 03:19:37 GMT 2025","688","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_multiple_records[core]","Select handles multiple records properly."
"passed","Mon Sep 15 03:19:36 GMT 2025","Mon Sep 15 03:19:36 GMT 2025","4","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_geography[core]",""
"passed","Mon Sep 15 03:19:33 GMT 2025","Mon Sep 15 03:19:33 GMT 2025","30","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_inf[core]",""
"skipped","Mon Sep 15 03:19:37 GMT 2025","Mon Sep 15 03:19:37 GMT 2025","0","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_limited_memory[core]",""
"passed","Mon Sep 15 03:19:33 GMT 2025","Mon Sep 15 03:19:33 GMT 2025","37","tests.integration.dbapi.async.V2","test_errors_async","","","","test_sql_error[core]","Connection properly reacts to SQL execution error."
"passed","Mon Sep 15 03:19:37 GMT 2025","Mon Sep 15 03:19:37 GMT 2025","117","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
"passed","Mon Sep 15 03:19:36 GMT 2025","Mon Sep 15 03:19:36 GMT 2025","38","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query[core]","Query parameters are handled properly"
"passed","Mon Sep 15 03:19:34 GMT 2025","Mon Sep 15 03:19:34 GMT 2025","55","tests.integration.dbapi.async.V2","test_queries_async","","","","test_bytea_roundtrip[core]","Inserted and than selected bytea value doesn't get corrupted."
"passed","Mon Sep 15 03:19:34 GMT 2025","Mon Sep 15 03:19:34 GMT 2025","63","tests.integration.dbapi.async.V2","test_queries_async","","","","test_multi_statement_query[core]","Query parameters are handled properly"
"skipped","Mon Sep 15 03:19:34 GMT 2025","Mon Sep 15 03:19:34 GMT 2025","0","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_limited_memory[core]",""
"passed","Mon Sep 15 03:19:34 GMT 2025","Mon Sep 15 03:19:34 GMT 2025","31","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
"passed","Mon Sep 15 03:19:36 GMT 2025","Mon Sep 15 03:19:36 GMT 2025","3","tests.integration.dbapi.sync.V2","test_errors","","","","test_sql_error[core]","Connection properly reacts to sql execution error."
"passed","Mon Sep 15 03:19:34 GMT 2025","Mon Sep 15 03:19:34 GMT 2025","30","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_bigint[core]",""
"passed","Mon Sep 15 03:19:36 GMT 2025","Mon Sep 15 03:19:36 GMT 2025","40","tests.integration.dbapi.sync.V2","test_queries","","","","test_select[core]","Select handles all data types properly."
"passed","Mon Sep 15 03:19:36 GMT 2025","Mon Sep 15 03:19:36 GMT 2025","4","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_inf[core]",""
"passed","Mon Sep 15 03:19:36 GMT 2025","Mon Sep 15 03:19:36 GMT 2025","3","tests.integration.dbapi.sync.V2","test_queries","","","","test_set_invalid_parameter[core]",""
"skipped","Mon Sep 15 03:19:36 GMT 2025","Mon Sep 15 03:19:36 GMT 2025","0","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Mon Sep 15 03:19:37 GMT 2025","Mon Sep 15 03:19:38 GMT 2025","1003","tests.integration.dbapi.sync.V2","test_timeout","","","","test_query_timeout[core]",""
