"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 06 16:23:22 GMT 2025","Mon Oct 06 16:23:22 GMT 2025","53","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query[core]","Query parameters are handled properly."
"passed","Mon Oct 06 16:23:19 GMT 2025","Mon Oct 06 16:23:19 GMT 2025","32","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query_with_special_chars[core]","Query parameters are handled properly."
"passed","Mon Oct 06 16:23:22 GMT 2025","Mon Oct 06 16:23:22 GMT 2025","45","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query[core]","Query parameters are handled properly"
"passed","Mon Oct 06 16:23:20 GMT 2025","Mon Oct 06 16:23:20 GMT 2025","32","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
"passed","Mon Oct 06 16:23:20 GMT 2025","Mon Oct 06 16:23:21 GMT 2025","1029","tests.integration.dbapi.async.V2","test_timeout","","","","test_query_timeout[core]",""
"passed","Mon Oct 06 16:23:21 GMT 2025","Mon Oct 06 16:23:21 GMT 2025","3","tests.integration.dbapi.sync.V2","test_errors","","","","test_sql_error[core]","Connection properly reacts to sql execution error."
"passed","Mon Oct 06 16:23:19 GMT 2025","Mon Oct 06 16:23:19 GMT 2025","87","tests.integration.dbapi.async.V2","test_queries_async","","","","test_insert[core]","Insert and delete queries are handled properly."
"passed","Mon Oct 06 16:23:22 GMT 2025","Mon Oct 06 16:23:22 GMT 2025","6","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_geography[core]",""
"passed","Mon Oct 06 16:23:22 GMT 2025","Mon Oct 06 16:23:22 GMT 2025","33","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_select[core]","Select handles all data types properly."
"passed","Mon Oct 06 16:23:19 GMT 2025","Mon Oct 06 16:23:19 GMT 2025","56","tests.integration.dbapi.async.V2","test_queries_async","","","","test_bytea_roundtrip[core]","Inserted and than selected bytea value doesn't get corrupted."
"passed","Mon Oct 06 16:23:19 GMT 2025","Mon Oct 06 16:23:19 GMT 2025","29","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_bigint[core]",""
"passed","Mon Oct 06 16:23:22 GMT 2025","Mon Oct 06 16:23:23 GMT 2025","957","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_multiple_records[core]","Select handles multiple records properly."
"passed","Mon Oct 06 16:23:22 GMT 2025","Mon Oct 06 16:23:22 GMT 2025","6","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_quoted_decimal[core]",""
"passed","Mon Oct 06 16:23:19 GMT 2025","Mon Oct 06 16:23:19 GMT 2025","60","tests.integration.dbapi.async.V2","test_queries_async","","","","test_multi_statement_query[core]","Query parameters are handled properly"
"passed","Mon Oct 06 16:23:23 GMT 2025","Mon Oct 06 16:23:24 GMT 2025","232","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
"passed","Mon Oct 06 16:23:19 GMT 2025","Mon Oct 06 16:23:19 GMT 2025","30","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_decimal[core]",""
"passed","Mon Oct 06 16:23:20 GMT 2025","Mon Oct 06 16:23:20 GMT 2025","214","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
"passed","Mon Oct 06 16:23:21 GMT 2025","Mon Oct 06 16:23:21 GMT 2025","5","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_inf[core]",""
"passed","Mon Oct 06 16:23:22 GMT 2025","Mon Oct 06 16:23:22 GMT 2025","3","tests.integration.dbapi.sync.V2","test_queries","","","","test_set_invalid_parameter[core]",""
"passed","Mon Oct 06 16:23:22 GMT 2025","Mon Oct 06 16:23:22 GMT 2025","31","tests.integration.dbapi.sync.V2","test_queries","","","","test_bytea_roundtrip[core]","Inserted and than selected bytea value doesn't get corrupted."
"skipped","Mon Oct 06 16:23:21 GMT 2025","Mon Oct 06 16:23:21 GMT 2025","0","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"skipped","Mon Oct 06 16:23:19 GMT 2025","Mon Oct 06 16:23:19 GMT 2025","0","tests.integration.dbapi.async.V2","test_queries_async","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Mon Oct 06 16:23:19 GMT 2025","Mon Oct 06 16:23:20 GMT 2025","525","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_multiple_records[core]","Select handles multiple records properly."
"skipped","Mon Oct 06 16:23:21 GMT 2025","Mon Oct 06 16:23:21 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_refresh_token[core]","Auth refreshes token on expiration/invalidation"
"passed","Mon Oct 06 16:23:23 GMT 2025","Mon Oct 06 16:23:23 GMT 2025","6","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
"passed","Mon Oct 06 16:23:22 GMT 2025","Mon Oct 06 16:23:22 GMT 2025","49","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert[core]","Insert and delete queries are handled properly."
"skipped","Mon Oct 06 16:23:19 GMT 2025","Mon Oct 06 16:23:19 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation[core]","Auth raises authentication error on credentials invalidation"
"passed","Mon Oct 06 16:23:19 GMT 2025","Mon Oct 06 16:23:19 GMT 2025","66","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_select[core]","Select handles all data types properly."
"skipped","Mon Oct 06 16:23:20 GMT 2025","Mon Oct 06 16:23:20 GMT 2025","0","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_limited_memory[core]",""
"passed","Mon Oct 06 16:23:19 GMT 2025","Mon Oct 06 16:23:19 GMT 2025","29","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan[core]",""
"skipped","Mon Oct 06 16:23:23 GMT 2025","Mon Oct 06 16:23:23 GMT 2025","0","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_limited_memory[core]",""
